calibration,created,external_uid,finish_time,id,info,media_url,project_id,task_id,timeout,user_id,user_ip
,2018-09-19T11:37:45.250868,,2018-09-19T11:39:14.529375,3008703,No,,5441,2017659,,4953.0,
,2018-09-19T11:40:06.039502,,2018-09-19T11:40:21.057174,3008704,Yes,,5441,2017659,,,83.39.219.93
,2018-09-19T11:40:06.474158,,2018-09-19T11:40:28.604508,3008705,No,,5441,2017660,,,83.39.219.93
,2018-09-19T11:40:21.474857,,2018-09-19T11:40:31.803293,3008706,Yes,,5441,2017661,,,83.39.219.93
,2018-09-19T11:40:28.952923,,2018-09-19T11:40:35.473862,3008707,No,,5441,2017662,,,83.39.219.93
,2018-09-19T11:40:32.226538,,2018-09-19T11:40:38.584177,3008708,No,,5441,2017663,,,83.39.219.93
,2018-09-19T11:40:35.872801,,2018-09-19T11:40:42.090403,3008709,No,,5441,2017664,,,83.39.219.93
,2018-09-19T11:40:39.071505,,2018-09-19T11:40:44.887155,3008710,No,,5441,2017665,,,83.39.219.93
,2018-09-19T11:40:42.497482,,2018-09-19T11:40:50.172539,3008711,No,,5441,2017666,,,83.39.219.93
,2018-09-19T11:40:45.246887,,2018-09-19T11:40:53.878367,3008712,Yes,,5441,2017667,,,83.39.219.93
,2018-09-19T11:40:50.554874,,2018-09-19T11:40:55.894016,3008713,Yes,,5441,2017668,,,83.39.219.93
,2018-09-19T11:40:54.193341,,2018-09-19T11:40:57.415885,3008714,Yes,,5441,2017669,,,83.39.219.93
,2018-09-19T11:40:56.214964,,2018-09-19T11:41:00.011684,3008715,Yes,,5441,2017670,,,83.39.219.93
,2018-09-19T11:40:57.767270,,2018-09-19T11:41:16.339230,3008716,No,,5441,2017671,,,83.39.219.93
,2018-09-19T11:41:00.355551,,2018-09-19T11:41:18.287843,3008717,No,,5441,2017672,,,83.39.219.93
,2018-09-19T11:41:16.687559,,2018-09-19T11:41:23.117765,3008718,No,,5441,2017673,,,83.39.219.93
,2018-09-19T11:41:18.621087,,2018-09-19T11:41:25.087238,3008719,No,,5441,2017674,,,83.39.219.93
,2018-09-19T15:09:18.719093,,2018-09-19T15:10:19.039668,3008734,No,,5441,2017659,,3.0,
,2018-09-19T15:09:19.006829,,2018-09-19T15:10:38.077911,3008735,No,,5441,2017660,,3.0,
,2018-09-19T15:10:19.863063,,2018-09-19T15:10:54.339110,3008736,No,,5441,2017661,,3.0,
,2018-09-19T15:13:31.149580,,2018-09-19T15:13:52.006283,3008737,Yes,,5441,2017660,,,193.177.99.249
,2018-09-19T15:18:43.604175,,2018-09-19T15:18:49.392623,3008738,No,,5441,2017661,,,72.49.160.29
,2018-09-19T15:18:55.328368,,2018-09-19T15:19:24.265473,3008739,No,,5441,2017662,,,223.94.105.2
